(2021-09-07 09:54:41 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间,出库时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 like '%%' and 记录时间 = '2021-09-07' and 出库时间 = '1900-01-01' and 记录时间 = '2021-09-07'"
(2021-09-07 09:54:54 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间,t2.出库时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 like '%%'"
(2021-09-07 09:54:54 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间,出库时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 like '%%' and 记录时间 = '1900-01-01' and 出库时间 = '1900-01-01'"
(2021-09-07 09:55:18 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t2.出库状态,t2.记录时间,t2.出库时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 like '%%' and t2.记录时间 = '2021-09-06'"
(2021-09-07 09:55:18 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间,出库时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 like '%%' and 记录时间 = '2021-09-06' and 出库时间 = '1900-01-01' and 记录时间 = '2021-09-06'"
(2021-09-07 10:02:33 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '123' and 军官证号 = '123'"
(2021-09-07 10:03:10 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 = '213' and 调拨凭证号 = '3425' and 装箱单号 = '987'"
(2021-09-07 10:03:10 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedDetailsTable where 装箱单号 = '987'"
(2021-09-07 10:03:10 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert GunManager.dbo.BoxPackedTable values('213','3425','987','8544','5264','67','657','1900-1-4','1900-1-20',18)"
(2021-09-07 10:03:10 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert into GunManager.dbo.BoxPackedDetailsTable values (1,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(2,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(3,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(4,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(5,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(6,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(7,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(8,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(9,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(10,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(11,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(12,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(13,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(14,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(15,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(16,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(17,'987','8544','5264','','','未出库','2021-09-07','1900-1-1'),(18,'987','8544','5264','','','未出库','2021-09-07','1900-1-1')"
(2021-09-07 10:03:14 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.BoxPackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装箱单号 like '%%'"
(2021-09-07 10:04:52 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '123' and 军官证号 = '123'"
(2021-09-07 10:05:14 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 = '6446' and 调拨凭证号 = '786456' and 装备代码 = '7868'"
(2021-09-07 10:06:46 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert GunManager.dbo.SinglePackedTable values('6446','786456','7868','6865','','','4564','4564','1908-1-1','1918-1-1','未出库','2021-9-7','1900-1-1')"
(2021-09-07 10:08:39 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '123' and 军官证号 = '123'"
(2021-09-07 10:08:42 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t1.装箱数量,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 != '' and t2.出库状态 = '未出库'"
(2021-09-07 10:08:42 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,'-' as 箱装数量,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 != '' and 出库状态 = '未出库'"
(2021-09-07 10:08:58 周二)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select t1.退役报废文件号,t1.调拨凭证号,t1.装箱单号,t1.装备代码,t1.装备名称,t2.单装编号,t1.出厂时间,t1.装备时间,t1.装箱数量,t2.记录时间 from GunManager.dbo.BoxPackedTable t1 right join GunManager.dbo.BoxPackedDetailsTable t2 on t1.装箱单号 = t2.装箱单号 and t1.装备代码 = t2.装备代码 and t1.装备名称 = t2.装备名称 where t1.退役报废文件号 like '%%' and t1.调拨凭证号 like '%%' and t1.装箱单号 like '%%' and t1.装备代码 like '%%' and t1.装备名称 like '%%' and t2.单装编号 != '' and t2.出库状态 = '未出库'"
